1928,1929,252.98,81.788,75.946
1929,1930,155.96,37.592,39.878
1930,1931,127.51,39.624,0
1931,1932,514.86,102.62,0
1932,1933,0,26.67,54.102
1933,1934,0,38.862,52.832
1934,1935,298.45,92.202,94.234
1935,1936,128.78,31.75,66.548
1936,1937,906.02,102.87,0
1937,1938,449.83,68.834,4.826
1938,1939,0,59.182,302.01
1939,1940,127,114.81,352.55
1940,1941,228.35,171.2,375.67
1941,1942,99.568,63.246,540.77
1942,1943,153.42,64.516,309.63
1943,1944,153.16,88.392,329.69
1944,1945,127.25,100.58,317.25
1945,1946,54.356,37.084,284.23
1946,1947,122.17,45.212,14.732
1947,1948,175.77,78.232,0
1948,1949,212.34,102.87,38.862
1949,1950,113.28,47.244,21.082
1950,1951,88.392,42.164,35.306
1951,1952,273.3,119.38,62.23
1952,1953,145.03,67.056,56.642
1953,1954,113.03,41.91,41.148
1954,1955,81.788,55.88,33.274
1955,1956,263.14,81.28,64.008
1956,1957,244.86,84.074,70.866
1957,1958,172.21,85.598,59.436
1958,1959,88.9,26.416,26.67
1959,1960,196.6,101.09,39.116
1960,1961,103.12,67.818,33.274
1961,1962,148.84,72.644,51.816
1962,1963,190.25,64.516,52.324
1963,1964,65.786,31.242,16.256
1964,1965,254.76,116.84,77.47
1965,1966,237.49,92.202,79.502
1966,1967,188.21,88.392,61.976
1967,1968,117.35,58.42,43.942
1968,1969,240.54,99.568,69.088
1969,1970,55.118,47.244,32.004
1970,1971,119.13,54.864,40.894
1971,1972,121.41,50.038,31.242
1972,1973,161.29,77.724,84.074
1973,1974,157.48,76.454,62.738
1974,1975,163.32,40.64,73.914
1975,1976,167.13,58.928,44.196
1976,1977,43.18,57.15,22.86
1977,1978,177.29,125.48,114.05
1978,1979,192.02,173.74,132.84
1979,1980,283.72,158.75,130.05
1980,1981,57.404,25.654,19.812
1981,1982,199.9,70.358,52.324
1982,1983,170.94,114.81,89.408
1983,1984,210.31,87.63,56.388
1984,1985,132.84,85.09,45.212
1985,1986,156.46,88.9,131.83
1986,1987,167.89,206.25,135.89
1987,1988,187.96,117.09,114.55
1988,1989,138.43,122.17,57.404
1989,1990,48.006,31.242,21.336
1990,1991,157.99,101.09,39.116
1991,1992,221.74,111.76,73.152
1992,1993,321.82,144.53,50.292
1993,1994,187.45,52.324,37.846
1994,1995,209.8,111.76,63.5
1995,1996,110.49,36.322,39.37
1996,1997,284.99,99.06,79.248
1997,1998,131.32,71.374,6.096
1998,1999,30.734,61.468,48.768
1999,2000,74.93,24.892,23.114
2000,2001,201.42,59.944,73.914
2001,2002,66.04,24.13,23.622
2002,2003,165.1,99.314,99.568
2003,2004,305.82,69.85,68.834
2004,2005,392.18,145.54,160.53
2005,2006,57.15,28.956,25.654
2006,2007,123.95,56.642,47.498
2007,2008,461.77,165.35,94.488
2008,2009,185.93,66.294,58.42
2009,2010,293.62,108.2,79.248
2010,2011,176.78,57.404,45.212
2011,2012,198.63,88.138,57.912
2012,2013,223.27,83.566,8.636
