time,JicarillaIrr,NMPineRiverAreaIrr,TwinRocks,Ralston,NMAnimasIrr,FarmingtonGlade,EchoDitch,FarmersMutual,ArchuletaDitch,CitizenDitch,TurleyDitch,Hammond,FruitlandAndCambridge,JewettValley,Hogback,CudeiCanal
1966,465.0,720.0,138.6,224.8,7251.5,465.0,817.0,3037.0,68.0,3283.0,198.0,2100.0,2256.0,966.0,3092.0,267.0
1967,453.0,720.0,148.5,240.9,7072.6,453.0,781.0,3024.0,66.0,3237.0,197.0,2000.0,2263.0,969.0,3091.0,269.0
1968,441.0,640.0,160.5,260.3,6889.2,441.0,745.0,3010.0,64.0,3192.0,197.0,2000.0,2285.0,971.0,3090.0,272.0
1969,429.0,640.0,175.2,284.1,6697.7,429.0,709.0,2997.0,63.0,3146.0,196.0,2000.0,2288.0,974.0,3089.0,274.0
1970,417.0,590.0,193.7,314.2,6497.1,417.0,672.0,2984.0,61.0,3101.0,196.0,2100.0,2290.0,977.0,3087.0,277.0
1971,406.0,570.0,217.7,353.1,6281.2,406.0,636.0,2971.0,59.0,3055.0,195.0,2000.0,2294.0,980.0,3208.0,279.0
1972,394.0,570.0,250.2,405.8,6044.1,394.0,600.0,2958.0,58.0,3010.0,195.0,2200.0,2296.0,983.0,3207.0,282.0
1973,382.0,570.0,250.5,406.3,6003.1,382.0,591.0,2945.0,56.0,2964.0,195.0,2200.0,2299.0,986.0,3206.0,284.0
1974,370.0,570.0,250.9,406.9,5961.3,370.0,582.0,2932.0,54.0,2919.0,194.0,3100.0,2301.0,989.0,3205.0,286.0
1975,358.0,410.0,251.2,407.5,5920.3,358.0,573.0,2919.0,52.0,2873.0,194.0,3100.0,2303.0,991.0,3204.0,289.0
1976,346.0,410.0,251.6,408.0,5878.4,346.0,565.0,2906.0,51.0,2828.0,193.0,3000.0,2306.0,994.0,3081.0,291.0
1977,334.0,410.0,251.9,408.6,5837.4,334.0,556.0,2893.0,49.0,2782.0,193.0,3000.0,2315.0,997.0,3080.0,294.0
1978,322.0,410.0,252.3,409.2,5795.5,322.0,547.0,2880.0,47.0,2737.0,192.0,3200.0,2283.0,1000.0,3079.0,296.0
1979,310.0,410.0,252.2,409.0,5755.9,310.0,538.0,2866.0,46.0,2691.0,192.0,3200.0,2286.0,997.0,3078.0,299.0
1980,299.0,410.0,252.0,408.7,5715.4,299.0,529.0,2853.0,44.0,2646.0,191.0,2600.0,2287.0,994.0,3076.0,301.0
1981,287.0,410.0,251.8,408.4,5675.7,287.0,520.0,2840.0,42.0,2600.0,191.0,2600.0,2290.0,991.0,3075.0,303.0
1982,275.0,410.0,251.6,408.1,5635.2,275.0,511.0,2827.0,40.0,2584.0,190.0,2600.0,2292.0,988.0,3074.0,306.0
1983,263.0,400.0,251.5,407.9,5595.6,263.0,503.0,2814.0,39.0,2568.0,190.0,2600.0,2294.0,984.0,3073.0,308.0
1984,251.0,400.0,251.4,407.7,5556.0,251.0,494.0,2801.0,37.0,2552.0,190.0,2640.0,2296.0,981.0,3072.0,311.0
1985,239.0,400.0,251.2,407.3,5515.5,239.0,485.0,2788.0,35.0,2535.0,189.0,2670.0,2299.0,978.0,3071.0,313.0
1986,227.0,400.0,251.0,407.1,5475.9,227.0,476.0,2775.0,34.0,2519.0,189.0,3070.0,2302.0,975.0,3069.0,316.0
1987,215.0,400.0,250.8,406.8,5435.4,215.0,467.0,2762.0,32.0,2503.0,188.0,3070.0,2303.0,972.0,3068.0,318.0
1988,204.0,400.0,250.7,406.5,5395.8,204.0,458.0,2749.0,30.0,2487.0,188.0,3270.0,2306.0,969.0,3067.0,320.0
1989,192.0,420.0,250.5,406.2,5355.3,192.0,449.0,2735.0,29.0,2471.0,187.0,3270.0,2308.0,966.0,3067.0,323.0
1990,180.0,420.0,250.3,406.0,5315.8,180.0,440.0,2722.0,27.0,2455.0,187.0,3170.0,2310.0,963.0,3065.0,325.0
1991,168.0,420.0,250.1,405.6,5275.3,168.0,432.0,2709.0,25.0,2438.0,186.0,3170.0,2312.0,959.0,3064.0,328.0
1992,156.0,420.0,249.9,405.4,5235.7,156.0,423.0,2696.0,23.0,2422.0,186.0,2770.0,2315.0,956.0,3063.0,330.0
1993,144.0,386.0,249.7,405.0,5195.3,144.0,414.0,2683.0,22.0,2406.0,185.0,2670.0,2317.0,953.0,3061.0,333.0
1994,132.0,352.0,249.6,404.7,5155.7,132.0,405.0,2670.0,20.0,2390.0,185.0,2680.0,2319.0,950.0,3060.0,335.0
1995,120.0,318.0,249.7,405.0,4969.4,120.0,412.0,2605.0,20.0,2446.0,183.0,2670.0,2289.0,936.0,3022.0,331.0
1996,109.0,284.0,249.8,405.2,4783.0,109.0,418.0,2540.0,20.0,2501.0,180.0,2670.0,2259.0,922.0,2984.0,327.0
1997,97.0,249.0,250.0,405.5,4597.5,97.0,425.0,2531.0,20.0,2557.0,178.0,2670.0,2229.0,909.0,2947.0,324.0
1998,85.0,215.0,250.2,405.8,4411.1,85.0,432.0,2447.0,20.0,2613.0,175.0,3070.0,2199.0,895.0,2908.0,320.0
1999,73.0,181.0,250.4,406.0,4224.6,73.0,438.0,2364.0,20.0,2668.0,173.0,3070.0,2169.0,881.0,2870.0,316.0
2000,61.0,147.0,250.5,406.4,4038.1,61.0,445.0,2280.0,20.0,2724.0,170.0,3308.0,2139.0,867.0,2832.0,312.0
2001,56.0,206.0,250.4,406.0,4183.6,56.0,433.0,2308.0,15.0,2661.0,154.0,3319.0,2098.0,882.0,2813.0,339.0
2002,52.0,266.0,250.1,405.7,4328.2,52.0,420.0,2335.0,9.0,2599.0,139.0,3330.0,2056.0,896.0,2795.0,366.0
2003,47.0,325.0,250.0,405.4,4473.6,47.0,408.0,2363.0,4.0,2536.0,123.0,3341.0,2015.0,911.0,2776.0,393.0
2004,46.0,406.0,250.2,405.8,4296.0,46.0,424.0,1966.0,17.0,2739.0,144.0,3269.0,2005.0,879.0,2578.0,298.0
2005,46.0,406.0,249.9,405.3,4108.8,46.0,370.0,2125.0,12.0,2517.0,129.0,3233.0,1947.0,741.0,2827.0,285.0
2006,46.0,406.0,260.8,423.1,4473.1,46.0,365.0,2092.0,13.0,2721.0,188.0,3254.0,1697.0,864.0,2796.0,266.0
2007,46.0,406.0,275.0,445.9,4715.1,46.0,360.0,2196.0,13.0,2939.0,192.0,3388.0,2031.0,938.0,3517.0,375.0
2008,46.0,406.0,269.8,437.5,4626.1,46.0,370.5,2153.7,26.3,2922.5,152.3,3409.0,1721.8,931.4,2705.8,175.8
2009,46.0,406.0,235.4,381.8,4037.1,46.0,357.9,1968.7,12.8,2280.1,192.7,3005.8,1740.2,780.9,2448.6,286.1
2010,46.0,406.0,243.9,395.6,4183.2,46.0,396.3,1908.5,12.8,2285.4,188.8,3054.0,1766.4,836.6,2234.3,262.3
2011,46.0,406.0,260.3,422.1,4462.9,46.0,405.9,2056.8,12.8,2441.9,188.9,3298.2,2011.2,955.2,2703.1,303.4
2012,46.0,406.0,258.0,418.4,4423.9,46.0,398.7,2002.5,12.9,2543.5,188.9,3316.7,1910.5,837.2,2333.1,280.3
2013,46,406,256,415,4386,46,403,2088,13,2559,190,3290,1953,868,2585,316
