time,JicarillaIrr,NMPineRiverAreaIrr,TwinRocks,Ralston,NMAnimasIrr,FarmingtonGlade,EchoDitch,FarmersMutual,ArchuletaDitch,CitizenDitch,TurleyDitch,Hammond,FruitlandAndCambridge,JewettValley,Hogback,CudeiCanal
1929,700.0,1475.0,251.3,407.6,9341.1,700.0,1210.0,3050.0,40.0,3940.0,205.0,40.0,540.0,920.0,2140.0,170.0
1930,700.0,1475.0,251.3,407.6,9341.1,700.0,1210.0,3050.0,40.0,3940.0,205.0,40.0,540.0,920.0,2206.0,170.0
1931,700.0,1475.0,251.3,407.6,9341.1,700.0,1210.0,3050.0,40.0,4000.0,205.0,40.0,540.0,920.0,2271.0,170.0
1932,700.0,1475.0,251.3,407.6,9341.1,700.0,1210.0,3050.0,40.0,4000.0,205.0,40.0,540.0,920.0,2337.0,170.0
1933,700.0,1475.0,251.3,407.6,9341.1,700.0,1210.0,3050.0,40.0,4000.0,205.0,40.0,540.0,920.0,2403.0,170.0
1934,700.0,1475.0,251.3,407.6,9341.1,700.0,1210.0,3050.0,40.0,4000.0,205.0,40.0,540.0,920.0,2468.0,170.0
1935,713.0,1475.0,251.3,407.6,9341.1,713.0,1210.0,3050.0,40.0,4000.0,205.0,40.0,540.0,920.0,2534.0,170.0
1936,727.0,1475.0,251.3,407.6,9341.1,727.0,1210.0,3050.0,40.0,4000.0,205.0,70.0,540.0,920.0,2800.0,170.0
1937,740.0,1475.0,251.3,407.6,9341.1,740.0,1210.0,3050.0,40.0,4000.0,205.0,70.0,590.0,920.0,2300.0,170.0
1938,740.0,1475.0,251.3,407.6,9341.1,740.0,1210.0,3050.0,40.0,4000.0,205.0,70.0,665.0,920.0,2450.0,170.0
1939,740.0,1475.0,246.8,400.2,9353.0,740.0,1210.0,3050.0,40.0,4000.0,205.0,70.0,740.0,920.0,2600.0,170.0
1940,740.0,1475.0,242.4,393.1,9364.5,740.0,1210.0,3050.0,40.0,4000.0,205.0,70.0,1140.0,920.0,2700.0,170.0
1941,740.0,1475.0,238.1,386.2,9375.7,740.0,1210.0,3050.0,40.0,4000.0,205.0,70.0,1540.0,920.0,2800.0,170.0
1942,712.0,1475.0,234.0,379.6,9386.4,712.0,1210.0,3050.0,40.0,4000.0,205.0,70.0,1540.0,920.0,2200.0,120.0
1943,683.0,1475.0,230.1,373.2,9396.8,683.0,1210.0,3050.0,40.0,4000.0,205.0,70.0,1540.0,920.0,2700.0,150.0
1944,655.0,1475.0,226.3,367.0,9406.8,655.0,1210.0,3050.0,40.0,4000.0,205.0,70.0,1540.0,920.0,2350.0,265.0
1945,655.0,1475.0,222.6,361.0,9416.5,655.0,1210.0,3050.0,40.0,4000.0,205.0,70.0,1540.0,920.0,2350.0,265.0
1946,655.0,1475.0,219.0,355.1,9425.9,655.0,1235.0,3050.0,40.0,4000.0,205.0,70.0,2140.0,920.0,2525.0,265.0
1947,655.0,1475.0,216.2,350.6,9463.3,655.0,1335.0,3050.0,40.0,4000.0,205.0,100.0,2140.0,920.0,2700.0,315.0
1948,655.0,1475.0,213.0,345.5,9481.5,655.0,1335.0,3050.0,40.0,4000.0,205.0,100.0,2250.0,920.0,2700.0,315.0
1949,655.0,1475.0,209.7,340.2,9490.1,655.0,1335.0,3050.0,40.0,4000.0,205.0,100.0,2265.0,920.0,2500.0,290.0
1950,655.0,1475.0,206.6,335.0,9498.4,655.0,1335.0,3050.0,40.0,4000.0,205.0,100.0,2565.0,920.0,2600.0,310.0
1951,643.0,1475.0,200.4,325.0,9362.6,643.0,1302.0,3041.0,40.0,3955.0,205.0,400.0,2565.0,923.0,2600.0,345.0
1952,631.0,1575.0,194.4,315.3,9226.2,631.0,1268.0,3033.0,40.0,3910.0,204.0,400.0,2565.0,926.0,2600.0,345.0
1953,619.0,1575.0,188.6,306.0,9090.4,619.0,1235.0,3024.0,90.0,3865.0,204.0,400.0,2565.0,929.0,3200.0,230.0
1954,607.0,1575.0,183.0,296.8,8953.2,607.0,1201.0,3065.0,88.0,3829.0,203.0,400.0,2563.0,931.0,3150.0,230.0
1955,596.0,1575.0,179.3,290.8,8902.9,596.0,1193.0,3067.0,87.0,3784.0,203.0,400.0,2560.0,934.0,3100.0,230.0
1956,584.0,1575.0,172.4,279.6,8687.0,584.0,1180.0,3108.0,85.0,3738.0,202.0,400.0,2553.0,937.0,3100.0,245.0
1957,572.0,1575.0,167.2,271.2,8548.6,572.0,1143.0,3155.0,83.0,3693.0,202.0,400.0,2240.0,940.0,3100.0,260.0
1958,560.0,1575.0,162.1,263.0,8408.9,560.0,1107.0,3141.0,81.0,3647.0,201.0,70.0,2040.0,943.0,3000.0,120.0
1959,548.0,1575.0,157.2,255.0,8269.7,548.0,1071.0,3128.0,80.0,3602.0,201.0,70.0,2240.0,946.0,3500.0,190.0
1960,536.0,1575.0,152.4,247.2,8129.3,536.0,1035.0,3115.0,78.0,3556.0,200.0,70.0,2243.0,949.0,3098.0,252.0
1961,524.0,700.0,147.8,239.7,7989.5,524.0,998.0,3102.0,76.0,3511.0,200.0,70.0,2244.0,951.0,3098.0,255.0
1962,512.0,700.0,143.2,232.3,7848.5,512.0,962.0,3089.0,75.0,3465.0,200.0,1100.0,2247.0,954.0,3097.0,257.0
1963,501.0,700.0,138.8,225.1,7708.1,501.0,926.0,3076.0,73.0,3420.0,199.0,1300.0,2249.0,957.0,3096.0,260.0
1964,489.0,675.0,134.5,218.1,7567.4,489.0,890.0,3063.0,71.0,3374.0,199.0,2000.0,2251.0,960.0,3094.0,262.0
1965,477.0,675.0,130.3,211.3,7425.5,477.0,854.0,3050.0,70.0,3329.0,198.0,2000.0,2253.0,963.0,3093.0,265.0
